"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,982703.191567007,982703.234807489,982703.216319667,NA,982703.25679236,982703.210023295,982703.143239944,982703.179613314,982703.203439182,982703.175983712,982703.189833074,1457.95132659096,"2015-10-17 19:31:47.576624896"
0,NA,983354.754719007,983354.799462379,983354.773969565,NA,NA,983354.772983868,983354.706477745,983354.742886874,983354.76657913,983354.739070722,983354.753067854,1457.95132659096,"2015-10-17 19:42:39.139862784"
0,NA,NA,NA,NA,NA,NA,NA,983994.985705203,NA,NA,NA,NA,1457.95132659096,"2015-10-17 19:53:19.419090176"
0,984613.043552027,984612.915959007,984612.961611212,984612.939877162,NA,984612.981923869,984612.934181012,984612.867709904,984612.904093832,984612.927785237,984612.900257671,984612.914267603,1457.95132659096,"2015-10-17 20:03:37.301094912"
0,NA,985185.875396007,985185.918330648,NA,NA,985185.941702071,985185.893548236,985185.827170109,985185.863446132,985185.887018371,985185.859589346,985185.873488134,1457.95132659096,"2015-10-17 20:13:10.260555008"
0,NA,985788.309651007,985788.362375539,NA,NA,NA,985788.327874231,985788.261433822,985788.297769018,985788.321579715,985788.293955505,985788.30783015,1457.95132659096,"2015-10-17 20:23:12.694818816"
0,NA,986450.187635006,NA,NA,NA,NA,986450.205911865,986450.139298383,986450.175621132,986450.199385301,986450.171980276,986450.185808557,1457.86269882996,"2015-10-17 20:34:14.572683264"
0,NA,987110.827039007,987110.870581966,987110.855799796,NA,987110.89441665,987110.845175285,987110.77878336,987110.815098256,987110.838918323,987110.811424876,987110.82521388,1457.86269882996,"2015-10-17 20:45:15.212168448"
0,NA,987768.480092007,987768.526715661,987768.501380668,NA,987768.547683882,987768.498303262,987768.431819319,987768.468140665,987768.492020254,987768.464317176,987768.478175308,1457.86269882996,"2015-10-17 20:56:12.865204224"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1457.86269882996,"2015-10-17 21:03:24.433384960"
0,NA,989063.318432007,989063.36542773,989063.342674788,NA,989063.382277842,989063.336904412,989063.270233888,989063.306561099,989063.330291926,989063.302826595,989063.316733211,1457.86269882996,"2015-10-17 21:17:47.703618816"
0,NA,989684.616479007,989684.659485644,NA,NA,989684.679636199,989684.634821542,989684.568281617,989684.604679488,989684.628422894,989684.600894581,989684.61477955,1457.86269882996,"2015-10-17 21:28:09.001666560"
0,NA,990263.719716007,NA,990263.743234537,NA,990263.782045111,990263.738054187,990263.671437961,990263.707699978,990263.731617188,990263.704030672,990263.718005349,1457.86269882996,"2015-10-17 21:37:48.104823040"
0,990878.588771631,990878.460770007,990878.500979448,990878.482199177,NA,990878.523882553,990878.478913383,990878.412495833,990878.448859227,990878.472598152,990878.445103307,990878.45893841,1457.86269882996,"2015-10-17 21:48:02.845880832"
0,991444.951941538,991444.824315006,991444.867739712,NA,NA,991444.890838324,991444.842622305,991444.77606731,991444.812551519,991444.836183073,991444.808541078,991444.822557044,1457.86269882996,"2015-10-17 21:57:29.209452288"
